Age_Category,Condition,Accuracy,se
Child,Single,1,0.04705436132558711
Adult,Single,0.8214285714285714,0.07307924583542855
Child,Multiple,0.84,0.07522159645153251
Adult,Multiple,0.35714285714285715,0.0855816496101822
